text_original,text_clean,label,video_id,title,channel_name,tanggal,author,source
Jelas gak setuju dong. Kita semua sama sama manusia :(,jelas gak setuju dong kita semua sama sama manusia,0,,,,,,dataset_kaggle
"Main di 𝐃‌𝐎​𝐑‌𝐀​𝟕⁠‌𝟕bikin aku lebih optimis, hasilnya nggak mengecewakan!",main dora77bikin aku lebih optimis hasil kecewa,1,,,,1758155585.39933,@Aamir8Nomi,dataset_komentarJudol
Happy new years buat k jen juca dan kamayi🎉🎉🎉😊,happy new years buat k jen juca dan kamayi,0,,,,,,dataset_kaggle
Bang review honor win rt dong,bang review honor win rt dong,0,,,,,,dataset_kaggle
"Asli, Monetisasi channel ALEXIS17 lancar jaya kayaknya, sering jawab pertanyaan subscriber.",asli monetisasi channel alexis17 lancar jaya kayaknya sering jawab pertanyaan subscriber,1,,,,,,judi_online
ngerti 𝘼𝙇𝙀𝙓𝙄𝙎17 viral .,ngerti alexis17 viral,1,ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,DediRamadhan-r6q,data_clean_final
mandalika77 mantap,mandalika77 mantap,1,-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.978.733.699.300,AdahRudd,data_clean_final
"Setiap buka Twitter, trending topic-nya gak jauh-jauh dari 🅿️︎🆄🅻︎🅰️︎🆄︎🆆︎🅸︎🅽︎.",buka twitter trending topic nya gak jauh jauh pulauwin,1,,,,1757097435.91991,@ANVISHA123-17,dataset_komentarJudol
"MANTAP siapa yang gk suka kalau di kasih terus seharian , di𓆰♕𓆪ISTANA B E T 17 𓆰♕𓆪 gw dah rasakan perbedaannya mending gas aja langsung !!",mantap siapa gk suka kalau kasih terus hari istana bet17 gw dah rasa beda mending gas aja langsung,1,,,,1756060444.09843,@SujalKumar-zi4yj,dataset_komentarJudol
Mantepp bangg gameny👍🏻,mantepp bangg gameny,0,,,,,,dataset_kaggle
"Beneran nagih, ❤TON 4D❤! Kemenangan wah, pengalaman top. Coba yuk! ✨",beneran nagih ton 4d kemenangan wah pengalaman top coba yuk,1,,,,,,dataset_kaggle
assiaal gagal maxwin cuma wede 3jt di ꗥ𝙈 𝘼 𝙉 𝙐 𝙏 8 8ꗥ,assiaal gagal maxwin cuma wede ejt manut88,1,,,,1756751627.73812,@MarianoButzer,dataset_komentarJudol
"seminggu main alexis17 , gue udah ganti pc gaming !",seminggu main alexis17 gue udah ganti pc gaming,1,VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,FikriNugroho-w7n,data_clean_final
"09:58 pertanyaan yg trs gw pendam, pertanyaan ini semakin menjadi saat event hacker minta maaf",pertanyaan yang terus saya pendam pertanyaan ini semakin menjadi saat acara hacker meminta maaf,0,,,,,,judi_online
Bang review hp tecno pova 7 ultra 5g,bang review hp tecno pova 7 ultra 5g,0,,,,,,dataset_kaggle
hahah budi budi,hahah budi budi,0,,,,,,judi_online
𝙃𝘽𝘾𝙈𝘼𝙉𝙏𝙐𝙇 ⚡ – 𝙏𝙚𝙢𝙥𝙖𝙩𝙣𝙮𝙖 𝙆𝙚𝙨𝙚𝙧𝙪𝙖𝙣 & 𝙋𝙚𝙡𝙪𝙖𝙣𝙜 𝙏𝙖𝙣𝙥𝙖 𝘽𝙖𝙩𝙖𝙨 🌟,hbcmantul tempat seru peluang batas,1,,,,1758460679.42835,@josss-w6f,dataset_komentarJudol
kamu musuh judi onlen tapi Napa ada sponsor game onlen?,kamu musuh judi onlen tetapi kenapa ada sponsor game onlen,0,,,,,,judi_online
✨𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓 🎉 tuh anti stress pas lagi banyak tagihan!,pr0be855 tuh anti stres pas lagi banyak tagihan,1,,,,,,judi_online
pengen main nih . gara-gara alexis17 nih !,pengen main nih gara gara alexis17 nih,1,rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,BudiPuspita-j9b,data_clean_final
"Main fokus tanpa hambatan, Ketik Di Google❣️ 𝗝 𝗨 𝗡 𝗜 𝗢 𝗥 𝟴 𝟴❣️",main fokus tanpa hambatan ketik di google junior88,1,,,,,,dataset_kaggle
Lawak2 bg pascol😂😂,lawak2 bg pascol,0,,,,1758847585.43921,@RifkiArisandi-z8k8p,dataset_komentarJudol
Hallo ayang encol😂,hallo ayang encol,0,,,,1756665049.32222,@PAINZGAMING,dataset_komentarJudol
"💎 Spin santai win berdatangan, Ketik di Google 🚀𝗧𝗞𝗣𝟯𝟬𝟯🚀",spin santai win berdatangan ketik di google tkp303,1,,,,,,dataset_kaggle
"3 bang , salam jepe 𝐒𝐆𝐈𝟖𝟖",3 bang salam jepe sgi88,1,gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,matthiasmarcela-g9m,data_clean_final
Gas terus,gas terus,0,,,,1755195346.55735,@alvinnababan3156,dataset_komentarJudol
temen abis cerita ̠ 𝑨𝑳𝑬𝑿𝑰𝑺17 gacor .,temen abis cerita alexis17 gacor,1,Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,NurAndriyani-m5w,data_clean_final
Ada suara cewe nyapa di menit 34:36,ada suara cewek nyapa di menit,0,,,,,,judi_online
Menteri tinggal maju ke raja wkwk,menteri tinggal maju ke raja wkwk,0,f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.394.214.504.520,safarrais5345,data_clean_final
"Konten bikin senyum terus, mantap banget ❤𝐒𝐔𝐑𝐘𝐀𝟖𝟖❤ 😁🎮",konten bikin senyum terus mantap banget surya88,1,,,,1756838124.71823,@marisa7788-b4j,dataset_komentarJudol
"Sumpah ya, gue buka TikTok isinya orang ngomongin 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 padahal gue gak ngerti itu apa.",sumpah gue buka tiktok isi orang ngomongin pulauwin padahal gue gak ngerti apa,1,,,,1755194991.78278,@tyrellgaddis,dataset_komentarJudol
"tampilan 𝘼𝙇𝙀𝙓𝙄𝙎17 sih ga main main , gokil parah !",tampilan alexis17 sih ga main main gokil parah,1,Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,AyuHartono-k9x,data_clean_final
"Situs sampah , jp kagak Rungkat iya wkwkwk",situs sampah jp kagak rungkat iya wkwkwk,1,,,,1756664870.99203,@bollokaja2617,dataset_komentarJudol
emang terbaik si Abang ini🌹𝗣𝗥𝗢𝗚𝗔𝗖𝗢𝗥𝟰𝟰🌹🐉🐉,emang baik si abang iniprogacor44,1,,,,1756663776.3175,@GentaGenta-u6s2e,dataset_komentarJudol
"Gila, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin nagih! Ceritanya dalam, visualnya ciamik, kemenangannya bikin kaget! 🔥",gila mona 4d bikin nagih cerita visual ciamik menang bikin kaget,1,,,,1757854290.30106,@NamDang-e9f,dataset_komentarJudol
"Doaku terbaik untuk 👉 𝙿𝚛𝚘𝚋𝚎𝚝𝟾𝟻𝟻 👈, terus sukses! 🙏",doa baik probet855 terus sukses,1,,,,1758847544.1007,@VanHieuBui-t7w,dataset_komentarJudol
"wd gampang banget , nggak pake ribet",wd gampang banget nggak pake ribet,1,Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,MahesazjMMu,data_clean_final
Kecamatan kraton udah belum ya?,kecamatan kraton udah belum ya,0,,,,2024-10-07 13:14:39,Afifah Husna,youtube_chat_jogja
​ @sunnysun7064 benci sama anies atau gmn ?,sunnysun7064 benci sama anies atau gmn,0,f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.387.004.205.040,imammuslim5843,data_clean_final
"Gak perlu kerja keras, cukup main di PULAUWIN, duit ngalir sendiri! 🌊",tidak perlu kerja keras cukup main di pulauwin duit mengalir sendiri,1,,,,,,judi_online
tampilannya mewah bangat di ⚡⚡🔥𝐆𝐀 𝐑𝐔 𝐃𝐀 𝐇𝐎 𝐊�🔥⚡⚡ udah gitu gampang jepe lagi,tampil mewah bangat ga ru da ho k udah gitu gampang jepe,1,,,,1758674491.2389,@MaiLê-i5h8f,dataset_komentarJudol
The real buta map ketua 😂,the real buta map ketua,0,,,,1757702845.95359,@shahrul.azhar_,dataset_komentarJudol
bang coba riview Infinix edge 5g,bang coba riview infinix edge 5g,0,,,,,,dataset_kaggle
"Atmosfer videonya calming, sama kayak tampilan halaman KYT4️⃣D ☯️",atmosfer videonya calming sama kayak tampilan halaman kyt4d,1,,,,,,dataset_kaggle
"̶P̶U̶L̶A̶U̶7̶7̶7̶., bermain seru dan menangkan jackpotnya",pulau777 main seru menang jackpotnya,1,,,,1756060588.18366,@VinithKumar-mz8dr,dataset_komentarJudol
✌,,0,,,,1757097423.98955,@krystal9491,dataset_komentarJudol
ＰＵＬＡＵＷＩＮ again? Gak pernah bosen sih 😆,pulauwin again gak pernah bosen sih,1,,,,,,dataset_kaggle
Ya gausah di tonton ribet amat hidup lu,gausah tonton ribet hidup lu,0,,,,1757270703.28846,@ipanksaputra1741,dataset_komentarJudol
konten ! keren banget menjelaskannya ! main bagus bang 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,konten keren banget menjelaskannya main bagus bang weton88,1,hDFN1Sr8a80,GEELY EX5 MAX | Mobil Listrik Ada Rasa Volvonya Dibawah 500 Juta,Motomobi,2025-05-04 11:30:36+00:00,EliasKey-f6t,data_clean_final
KETIK DI GOOGLE :fire:WISDOMTOTO:fire:,ketik di google wisdomtoto,1,,,,2024-10-07 13:26:59,Yash Tomar,youtube_chat_jogja
"Semoga allah selalu melindungimu bang,  🙏🙏",semoga allah selalu melindungimu kakak,0,,,,,,judi_online
bg*t ni pulau777 dmn mn anj,kakak t ini pulau7 dimana dimana anjing,1,,,,,,judi_online
Congrasttt jen ❤❤ nontonnnya sambil nangiss gue 😂,congrastt jen nontonnya sambil nangiss gue,0,,,,,,dataset_kaggle
@Salma nur fadila podo mba wkwk,salma nur fadila podo mba wkwk,0,,,,2024-10-07 12:00:56,Shely triya Amanda,youtube_chat_jogja
MULYONO TERTAWA MELIHAT INI😂😂,mulyono tertawa melihat ini,0,,,,,,judi_online
Setiap strategi di ❤𝐌𝐀𝐗𝐖𝐈𝐍𝟖𝟖❤ bikin respect level tinggi.,strategi maxwin88 bikin respect level tinggi,1,,,,1757836209.92731,@LamiyaKhan-d8p,dataset_komentarJudol
"Keberuntungan saya bener-bener gacir di 𝐃⁠𝐎‌​𝐑​‍𝐀‍⁠𝟕⁠‌𝟕, nggak nyangka!",untung bener bener gacir dora77 nyangka,1,,,,1758328644.89791,anonim,dataset_komentarJudol
"coba , lgsng makswin",coba lgsng makswin,1,aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,Lina7eXQN,data_clean_final
aku juga jago johnson bang,aku juga jago johnson bang,0,,,,,,dataset_kaggle
"gacu​r​ banget , modal seadanya cuy",gacu r banget modal seadanya cuy,1,5MBwJpU-9tg,"Rifat Sungkar Mau Bikin Sirkuit⁉️ | Dipo, Ziko Belajar Dari Suhu Motorsports",Garasi Drift Podcast,2025-04-30 09:00:07+00:00,NguyenAbduljNTmQ0A,data_clean_final
FOYA-FOYA juga seru banget gara-gara PuIauwin,foya foya juga seru banget gara gara puiauwin,1,,,,,,dataset_kaggle
Mimpi apa rakyat kumolonimbus..,mimpi apa rakyat kumolonimbus,0,ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,174.541.238.496.793,kobandaharizki4643,data_clean_final
"gacir gila, 𝙈AN𝐃ALIKA77 bikin jepe trs",gacir gila mandalika77 bikin jepe trs,1,BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.167.989.920,KelsieBarrow-n9w,data_clean_final
"seru juga ppq sekarang 😂
udah bubarin aja ppq, makin gajelas 🤣
mamam tuh player bagus dicamatin trus pindah onic berujung dibantai haha..

tinggal nunggu duren / sutsujin pindah juga 🤣",seru ppq sekarang udah bubarin aja ppq makin gajelas mamam tuh player bagus dicamatin trus pindah onic ujung bantai haha tinggal nunggu duren sutsujin pindah,0,,,,1757529472.06928,@turaturu251,dataset_komentarJudol
"Kalo Alexis17 udah nonton stand up, suasana auto pecah!",kalau alexis17 sudah menonton stand up suasana langsung seru,1,,,,,,judi_online
"Baca novel online, tokohnya nyebut 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 dengan penuh semangat.",baca novel online tokoh nyebut pulauwin penuh semangat,1,,,,1757789098.9013,@dillikicks,dataset_komentarJudol
"Wow, 🤎𝐏𝐑𝐎𝐁𝐄𝐓 𝟖𝟓𝟓🤎 konten ini bener-bener mantap !!",wow probet855 konten bener bener mantap,1,,,,1755455751.51267,@SinhTong67-w2y,dataset_komentarJudol
✨ 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ✨,weton88,1,nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.680.544.610,Multimediaaretaz-f5q,data_clean_final
𝘈𝘎𝑈𝙎𝘛𝙊𝐓O gua gk pernah nemu tempat segacor ini sebelumnya,agustoto gua gk pernah nemu tempat segacor ini sebelumnya,1,QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.555.663.900,Cdurhamarmand-u9m,data_clean_final
Gim,gim,0,,,,1757183925.23047,@AndriJha,dataset_komentarJudol
"seminggu main alexis17 , gue udah ganti smart tv !",seminggu main alexis17 gue udah ganti smart tv,1,ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,virmanbagaskara,data_clean_final
Kata mereka yang punya uang lebih 🤣 coba sehari cuma pegang sisa 10rb itu pun belum semua kebutuhan terpenuhi 🤣,kata mereka yang punya uang lebih coba sehari cuma pegang sisa 10rb itu pun belum semua kebutuhan terpenuhi,0,,,,,,dataset_kaggle
"😂bntr bgt mood nya brubah ,hbs dtanya jangan marah ,iy kata pascol gk marah bang sann ,,helat Sekian detik 😂marah kmbali kn lock",bntr bgt mood nya brubah hbs dtanya jangan marah iy kata pascol gk marah bang sann helat sekian detik marah kmbali kn lock,0,,,,1757270285.32446,@PecintaTimnas-w3c,dataset_komentarJudol
"Hi itillllll cantik , selamat ya sayang...semoga di lancarkan untuk segera menikah dan segera bikin adik buat mayi.",hi itill cantik selamat ya sayang semoga di lancarkan untuk segera menikah dan segera bikin adik buat mayi,0,,,,,,dataset_kaggle
"Sekarang hongkong ketat domestic helpers gk boleh jualan,bisa d penjara tapi Masih bayak mbak2 yg bandel resikonya ya d angkut Pak de.",sekarang hongkong ketat domestic helpers gk boleh jualan bisa d penjara tapi masih bayak mbak2 yg bandel resikonya ya d angkut pak de,0,,,,,,dataset_kaggle
"😊😊😊😊😊😊😊😊😊😊
😊😊😊😊😊",,0,,,,1756664866.12924,@bisajugadigunaka,dataset_komentarJudol
𝔾𝔸 ℝ𝕌 𝔻𝔸 ℍ𝕆 𝕂𝕀sudah terdaftar Resmi,ga ru da ho kisudah daftar resmi,1,,,,1756059693.40562,@SouvikMondal-ie1zt,dataset_komentarJudol
keranda tua apa kabar,keranda tua apa kabar,0,,,,1757702860.58437,@Xaviro27,dataset_komentarJudol
Ma Syaa Allah,ma syaa allah,0,,,,,,dataset_kaggle
"Alhamdulillah, 𝐌𝐎𝐍𝐀𝟒𝐃 bikin hari lebih ceria! Keren banget! 🌟",alhamdulillah mona4d membuat hari lebih ceria keren sekali,1,,,,,,judi_online
Jeen n Juca. Gigi kalian koq bisa putih2 bagus begitu,jeen n juca gigi kalian koq bisa putih2 bagus begitu,0,,,,,,dataset_kaggle
bukan hanya kata tapi nyata menyala 🥰 GA RU DA HO KI..Semua Member baru pasti jepe💛,bukan hanya kata tapi nyata menyala ga ru da ho ki semua member baru pasti jp,1,,,,,,dataset_kaggle
Baru nonton sekali dan langsung subs. Maju terus bang. Doa kami bersama elo.,baru menonton sekali dan langsung subs maju terus kakak doa kami bersama kamu,0,,,,,,judi_online
Setiap momen cringe di game ❤𝐌𝐀𝐗𝐖𝐈𝐍𝟖𝟖❤ bikin ngakak.,momen cringe game maxwin88 bikin ngakak,1,,,,1757839794.41293,@uniii-m6z,dataset_komentarJudol
sendal gua ilang woyy,sendal gua ilang woyy,0,,,,2024-10-07 11:27:08,bisma yuliandika,youtube_chat_jogja
Nonton tanpa baca komen itu lebih baik,nonton tanpa baca komen itu lebih baik,0,gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,174.447.355.669.665,anggaviali1188,data_clean_final
"jepe brusan gates , auto wede",jepe brusan gates auto wede,1,gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,LevirB7MS,data_clean_final
"Lu gamau jp juga diGa Ru Da-Ho Ki, Gua mah udah💥😍",lu gamau jp diga ru da ho ki gua mah udah,1,,,,1755195154.97331,@GAMER-PONNA-IS-HERE,dataset_komentarJudol
"Siapa yang naro bawang disini sih, btw happy for u mamari❤❤❤❤🎉🎉🎉",siapa yang naro bawang disini sih btw happy for u mamari,0,,,,,,dataset_kaggle
ᗩᗷG ᗯIᑎ terpopuler di Indonesia🦅,g i terpopuler di indonesia,1,BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.169.877.170,CLIFFChestnut,data_clean_final
maen santai tapi sering big win,maen santai tapi sering big win,1,f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.405.027.688.970,Kresnavpopl,data_clean_final
Yesss srg menyelamatkan dunia dari kebisingan😊,yess srg selamat dunia bising,0,,,,1755196240.19778,@Skyeee.Lynn2,dataset_komentarJudol
Caper bet,caper bet,0,,,,1759193004.51256,@NormalHuman-mp3dd,dataset_komentarJudol
"gak nyangka menang а𝘎𝙐𝙎𝐓ot𝑂 , auto party !",gak nyangka menang gustoto auto party,1,gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,ThaboYFlnK,data_clean_final
orang orang beli buat gaya aja ini mah,orang orang beli buat gaya aja ini mah,0,,,,,,dataset_kaggle
Dulu milih siapa bang?,dulu milih siapa bang,0,gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.304.763.010,evanbagus3090,data_clean_final
Gila gahar gini suara v8,gila gahar gini suara v8,0,QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,173.882.554.855.869,rifaldikurnia2547,data_clean_final
"Saka Emg biang kerok, ego banget anjir, udh ngrasa kyk pemain real Madrid aja yg udh banyak tropi",saka emg biang kerok ego banget anjir udh ngrasa kyk pemain real madrid aja yg udh banyak tropi,0,,,,,,dataset_kaggle
serius deh ̠ 𝑨𝑳𝑬𝑿𝑰𝑺17 】 bener gacor ! .,serius deh alexis17 bener gacor,1,Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,BayuKartini-t4v,data_clean_final
Sehat selalu dan banyak rezeki Weton88,sehat selalu dan banyak rezeki weton8,1,,,,,,judi_online
dapet rekomendasi maen diga ruda hoki ghacoorr bgt,dapet rekomendasi maen diga ruda hoki ghacoorr bgt,1,zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,LeylaHuyềnDiệp,data_clean_final
"enak ya jadi Farida Nurhan, bisa milih kerjaan yg mana yg menjanjikan dan nyaman...",enak ya jadi farida nurhan bisa milih kerjaan yg mana yg menjanjikan dan nyaman,0,,,,,,dataset_kaggle
dikasih keuntungan serupa𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖 wd aman,dikasih keuntungan serupap l u t o 8 8 wd aman,1,5MBwJpU-9tg,"Rifat Sungkar Mau Bikin Sirkuit⁉️ | Dipo, Ziko Belajar Dari Suhu Motorsports",Garasi Drift Podcast,2025-04-30 09:00:07+00:00,RenaeVivia,data_clean_final
Dengerin lagu ini pas udah gak sama smaa dan udah liat dia cek in sama cewe lain kok berasa sedih bngt ya,dengerin lagu ini pas udah gak sama smaa dan udah liat dia cek in sama cewe lain kok berasa sedih bngt ya,0,,,,,,dataset_kaggle
Cewek yg rambut panjang itu siapa guyss???? Cantik bgttt oii artis juga kah?,cewek yg rambut panjang itu siapa guyss cantik bgtt oii artis juga kah,0,,,,,,dataset_kaggle
"Alhamdulillah, ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 bikin hiburan jadi lebih bermakna! Ceritanya top, hadiahnya bikin dompet senyum! 🙏",alhamdulillah mona 4d bikin hibur jadi lebih makna cerita top hadiah bikin dompet senyum,1,,,,1757854289.89506,@ThaoHoang-h3e5v,dataset_komentarJudol
𝐁𝐓𝐕❶❻❽  platform yang terus berkembang dan berinovasi.,btv platform yang terus berkembang dan berinovasi,1,,,,,,judi_online
"Aku suka cara kamera dan editing-nya, sekilas ngingetin ke style KYT4️⃣D ☯️",aku suka cara kamera dan editing nya sekilas ngingetin ke style kyt4d,1,,,,,,dataset_kaggle
mirip mirip korupsi pertamina yeah,mirip mirip korupsi pertamina yeah,0,,,,,,dataset_kaggle
𝙿𝚄𝙻𝙰𝚄𝚆𝙸𝙽 bahkan muncul di chat grup alumni.,pulauwin bahkan muncul chat grup alumni,1,,,,1757789099.71521,@pratimpaul192,dataset_komentarJudol
"Biarpun begitu dia unjuk gigih dalam demo,🤩",biarpun unjuk gigih demo,0,,,,1756838170.59013,@munawarrah7788,dataset_komentarJudol
𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖 .. modal hasil maksimal,p l u t o 8 8 modal hasil maksimal,1,5MBwJpU-9tg,"Rifat Sungkar Mau Bikin Sirkuit⁉️ | Dipo, Ziko Belajar Dari Suhu Motorsports",Garasi Drift Podcast,2025-04-30 09:00:07+00:00,EmmaPatricia-q8p,data_clean_final
"Main di 𝘿 𝙊 𝙍𝘼𝟳𝟳👦-seru banget, langsung dapat rezeki nggak terduga! 🏉",main di di o ra77 seru sekali langsung dapat rezeki tidak terduga,1,,,,,,judi_online
05:35 ⚡️WETON88⚡️ tempat ngadu nasib wkwkw,weton88 tempat mengadu nasib wkw,1,,,,,,judi_online
"Mantap jiwa raga main di D𝑂𝑅𝐴𝟩𝟽, cuan terus menerus tanpa ada jeda!",mantap jiwa raga main di dora77 cuan terus menerus tanpa ada jeda,1,kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,1.739.947.016.652.170,Bennyferro-x1y,data_clean_final
jovi dah gede ketua,jovi dah gede ketua,0,,,,1755454774.20955,@imajineryt7136,dataset_komentarJudol
Fokus rapi menuju sukses Seacrh Google ❄️𝗝 𝗨 𝗡 𝗜 𝗢 𝗥 𝟴 𝟴❄️,fokus rapi menuju sukses seacrh google junior88,1,,,,,,dataset_kaggle
"Tiap hari buka IG, pasti muncul reels bertema ⓟⓤⓛⓐⓤⓦⓘⓝ.",tiap hari buka ig muncul reels tema pulauwin,1,,,,1756838154.08316,@KatherineRodriguez-b2k,dataset_komentarJudol
"Saat buka Pinterest, nemu aesthetic board tentang 𝓟𝓾𝓵𝓪𝓾𝔀𝓲𝓷.",buka pinterest nemu aesthetic board pulauwin,1,,,,1757789102.37901,@PunaramGrasiya-f8l,dataset_komentarJudol
"IP48 itu bukan boleh bawa nyebur, David! Itu cuma tahan guyuran air hujan gerimis. Dan setelah itu pun harus cepat-cepat dikeringkan",ip48 itu bukan boleh bawa nyebur david itu cuma tahan guyuran air hujan gerimis dan setelah itu pun harus cepat cepat dikeringkan,0,,,,,,dataset_kaggle
Masya allah tabarakallah amin allahumma amin,masya allah tabarakallah amin allahumma amin,0,,,,,,dataset_kaggle
"This mentality, they all know that they already qualified for the next round but still played with passion.",this mentality they all know that they already qualified for the next round but still played with passion,0,,,,,,dataset_kaggle
"Penasaran deh sama ⭐𝘼𝙇𝙀𝙓𝙄𝙎17, kayaknya seru.",penasaran deh dengan alexis17 kayaknya seru,1,,,,,,judi_online
"bro sibuk sih ? alexis17 , bagi-bagi bonus deposit gede banget nih",bro sibuk sih alexis17 bagi bagi bonus deposit gede banget nih,1,ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,haryantonasrullah,data_clean_final
