text_original,text_clean,label,video_id,title,channel_name,tanggal,author,source
"kebanyakan orang indo beli smartphone bukan sesuai dengan kebutuhan, tapi buat gaya2an aja....apalagi klo liat merek apple beeehhh......",kebanyakan orang indo beli smartphone bukan sesuai dengan kebutuhan tapi buat gaya2an aja apalagi klo liat merek apple beehh,0,,,,,,dataset_kaggle
Semua tongkrongan kekinian pasti udah kenal 𝐏𝐔𝐋𝐀𝐔𝐖𝐈𝐍.,semua tongkrong kini udah kenal pulauwin,1,,,,1755195080.04108,@kevencontreras-l6q,dataset_komentarJudol
Salut banget sama ⭐𝘼𝙇𝙀𝙓𝙄𝙎17! fix.,salut sekali dengan alexis17 fix,1,,,,,,judi_online
Assalammualaikom....Salam sehat untuk semua dan keluarga !!💙P R O B E T  8 5 5💙,assalammualaikom salam sehat semua keluarga probet855,1,,,,1757011009.60271,@TuanNguyen-c7t3z,dataset_komentarJudol
𝘼𝙇𝙀𝙓𝙄𝙎17 sih ? heboh banget ?,alexis17 sih heboh banget,1,VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,BayuAndriyani-h9u,data_clean_final
J-A-C-K-P-O-T-1-7 rekomendasi terbaik.,,1,,,,,,hardsell
Ini knp speed nya ga bisa di buat 2x lbih cepat ya? Apa saya yg katro,ini knp speed nya ga bisa di buat 2x lbih cepat ya apa saya yg katro,0,gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.362.483.730,HambaMuslimah,data_clean_final
sehat rezeki weton88,sehat rezeki weton88,1,rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,KaidenJonatan-o7w,data_clean_final
pawpaw4d pengalaman seru menyenangkan !,pawpaw4d pengalaman seru menyenangkan,1,zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,salimshak9269,data_clean_final
"Pin komentar om rendem aja,soal banyak banget komen judol nihh",pin komentar om rendem aja soal banyak banget komen judol nihh,0,kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,1.739.947.020.079.490,Jefffff_19,data_clean_final
eh tau gak sih 𝘼𝙇𝙀𝙓𝙄𝙎17 bagi-bagi bonus gede nih member,eh tau gak sih alexis17 bagi bagi bonus gede nih member,1,VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,AnisaHidayat-p5p,data_clean_final
"​@siswanto3755 bisa membuat lahan berkurang,karna jika berada di atas makan orang di anggap tidak sopan",bisa membuat lahan berkurang karna jika berada di atas makan orang di anggap tidak sopan,0,,,,,,dataset_kaggle
info loker ketua,info loker ketua,0,,,,,,dataset_kaggle
"iseng doang main 𝐷оrа𝟩𝟳 , eh ketagihan ! cuan nih !",iseng doang main d r 77 eh ketagihan cuan nih,1,zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,Amyezvqo,data_clean_final
😍😍,,0,,,,,,dataset_kaggle
Design yang terbaru wajib dikoleksi nih ❤,design yang terbaru wajib dikoleksi nih,0,-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.330.877.070,shirookun,data_clean_final
"🔥Let's Domino Gaple QiuQiu Poker Game Online🔥, pelayanan oke dan bikin akun makin aktif.",,1,,,,,,hardsell
J.A.C.K.P.O.T.17 ini baru the real deal.,,1,,,,,,hardsell
yang lagi rame kirain apa eh Ga r uda hoki..dijamin jepe,rame kirain apa eh ga r uda hoki jamin jepe,1,,,,1758501507.96331,@HàTrần-k8d3l,dataset_komentarJudol
𝐌𝐎𝐍𝐀𝟒𝐃 bikin video hidup! Hibur banget. 💖,mona4d membuat video hidup hibur sekali,1,,,,,,judi_online
Ke 2 bg frost,ke 2 bg frost,0,,,,,,dataset_kaggle
Kocak reaksi bren kalo rrq kalah🤭,kocak reaksi bren kalo rrq kalah,0,,,,,,dataset_kaggle
"Gw megang langung iPhone 17 Pro Max dan Galaxy S25 Ultra & Z Fold 7, hasilnya adalah iPhone berasa ""lebih murah"" ketika dipegang karena material alumunium ini, dan berasa juga kalo material di iPhone ini lebih gampang kegores / dent karena selain bahannya yg alumunium ada masalah tambahan yaitu warnanya doff",gw megang langung iphone 17 pro max dan galaxy s25 ultra z fold 7 hasilnya adalah iphone berasa lebih murah ketika dipegang karena material alumunium ini dan berasa juga kalo material di iphone ini lebih gampang kegores dent karena selain bahannya yg alumunium ada masalah tambahan yaitu warnanya doff,0,,,,,,dataset_kaggle
"❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 emang juara! Baru main sekali, langsung kepincut sama konsep cerita dan gameplay-nya. Hadiahnya bikin semangat dobel! 👑",mona 4d emang juara baru main sekali langsung kepincut sama konsep cerita gameplay nya hadiah bikin semangat dobel,1,,,,1757872169.88122,@QuanHo-h2d,dataset_komentarJudol
Di piting sama elsi cewe pasti mau si bujang ini,di piting sama elsi cewe pasti mau si bujang ini,0,,,,,,dataset_kaggle
Antutunya kalah jauh ama hape sejutaan gw Infinix Smart 10 Plus 😂,antutunya kalah jauh ama hape sejutaan gw infinix smart 10 plus,0,,,,,,dataset_kaggle
"aku merasakan seakan pernah hidup pada waktu lampau dan merasakan cintah yang indah, sedangkan saat ini baru umur 30 tahun saat mendengarkan lagu ini. seakan ada diri ku di waktu lampau yang mengatakan terimakasih telah menghadirkan rasa itu kembali. apakah ini yang namanya ingatan yang diwariskan. entah lah",aku merasakan seakan pernah hidup pada waktu lampau dan merasakan cintah yang indah sedangkan saat ini baru umur 30 tahun saat mendengarkan lagu ini seakan ada diri ku di waktu lampau yang mengatakan terimakasih telah menghadirkan rasa itu kembali apakah ini yang namanya ingatan yang diwariskan entah lah,0,,,,,,dataset_kaggle
denger lagu ini vibes nya ngerasa kyk orang lagi jatuh cintaa bgt,denger lagu ini vibes nya ngerasa kyk orang lagi jatuh cintaa bgt,0,,,,,,dataset_kaggle
MNST4R typo dikit tapi tetap jalan.,,1,,,,,,hardsell
Dirumah kalian hujan aja ga guys? Ditangerang hujan nya lebat bngt smpe banjir😭😭,dirumah kalian hujan aja ga guys ditangerang hujan nya lebat bngt smpe banjir,0,,,,,,dataset_kaggle
"Anjing kok busa menang arsenal, musim lalu kalah sama inter... aneh",anjing kok busa menang arsenal musim lalu kalah sama inter aneh,0,,,,,,dataset_kaggle
"Hp apa lg inii?😂😂😂
Gebrakan China emang gada obat🔥",hp apa lg inii gebrakan china emang gada obat,0,VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,174.534.064.915.102,zhoelptz,data_clean_final
"Ya memang begitu mbak yu, ga beda lah nasibnya dgn driver ojol, seller marketplace.. nanti pun face book Dan TikTok pun lama2 bakal begitu juga 😅😅 pinter2 aja nyimpen duit, jgn dihambur2kan",ya memang begitu mbak yu ga beda lah nasibnya dgn driver ojol seller marketplace nanti pun face book dan tiktok pun lama2 bakal begitu juga pinter2 aja nyimpen duit jgn dihambur2kan,0,,,,,,dataset_kaggle
gas gas,gas gas,0,,,,2024-10-07 12:21:04,Candra Budi,youtube_chat_jogja
"Bro, ayo ke Pulau 7.7/7, seru banget!",saudara ayo ke pulau seru sekali,1,,,,,,judi_online
SNOWRAIN444 sesuai ekspektasi dari awal.,,1,,,,,,hardsell
Samsung kemana coy?,samsung kemana coy,0,VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.416.246.348.380,arifnugroho-r2x,data_clean_final
Ｇ ＡＲ ＵＤ Ａ Ｈ ０ Ｋ ｌ Hari ini lagi banyak yg wede,g ar ud a ho k l hari banyak yg wede,1,,,,1757097431.1108,@bhavnachaudhari1196,dataset_komentarJudol
Justin sratsrot ingus wkwkwkwkwk,justin sratsrot ingus wkwkwkwkwk,0,,,,,,dataset_kaggle
"bro ALEXIS-17☯ lagi ada event gede nih, buruan gabung sebelum keabisan slot",bro alexis 17 lagi ada event gede nih buruan gabung sebelum keabisan slot,1,4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.337.597.356.450,WulanHartono-y7c,data_clean_final
mantap buanget shay main di *GUNUNGWIN* bestie fun game xixixi..,mantap banget say main di gunungwin bestie fun game xixixi,1,,,,,,judi_online
HONOR 500 & 500 PRO LEBIH BAGUS BANG,honor 500500 pro lebih bagus bang,0,,,,,,dataset_kaggle
"Gameplaynya epic, bikin kagum ❤𝐌𝐀𝐁𝐀𝐑𝟖𝟖❤ 😎🎮",gameplaynya epic bikin kagum mabar88,1,,,,1756751624.71019,@jasdhqhjeb1,dataset_komentarJudol
Qell vlog bareng Mohan dan keluarga nya dong qell pasti seru😂,qell vlog bareng mohan dan keluarga nya dong qell pasti seru,0,,,,,,dataset_kaggle
Semoga BERKAH99 selalu menjadi nomor satu!,semoga berkah99 selalu menjadi nomor satu,1,,,,,,judi_online
"buset 𝘼𝙇𝙀𝙓𝙄𝙎17 dimana , gokil abis ! .",buset alexis17 dimana gokil abis,1,Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,DesiYuliani-u8v,data_clean_final
"𝐀G𝘜𝘚TO𝘛𝘖 aku WEDEY gede, cma maen bentar",agustoto aku wedey gede cma maen bentar,1,-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.740.030.997.774.350,dewaaverring,data_clean_final
Yaa Allah baru engeh mereka si pencetus pang ketipang ketipung rayaaaa,yaa allah baru engeh mereka si pencetus pang ketipang ketipung rayaa,0,,,,,,dataset_kaggle
Mengisi harimu lebih indah di GA RU DA HO KI...check google💙,mengisi harimu lebih indah di ga ru da ho ki check google,1,,,,,,dataset_kaggle
"Gila sih, di ALEXIS17 ada event tournament slot dengan hadiah jet pribadi.",gila sih di alexis17 ada acara tournament permainan judi dengan hadiah jet pribadi,1,,,,,,judi_online
"Ngapa sih banyak banget fans gyokeres disini.. Liat goalnya pantulan di kaki lawan. Murni karna luck. Masih mikir skill, ngedrible aja gak bisa... Banyak salahin si saka😅.. Tanpa tuh gyokeres udah bakal menang juga. Ada kemungkinan pemain lain trauma umpan ke gyokeres. Saking gak gunanya, goal nya aja pantulan dari kaki lawan. Masih di agung- agung kan fans gyokeres",ngapa sih banyak banget fans gyokeres disini liat goalnya pantulan di kaki lawan murni karna luck masih mikir skill ngedrible aja gak bisa banyak salahin si saka tanpa tuh gyokeres udah bakal menang juga ada kemungkinan pemain lain trauma umpan ke gyokeres saking gak gunanya goal nya aja pantulan dari kaki lawan masih di agung agung kan fans gyokeres,0,,,,,,dataset_kaggle
Busett cerahh banget 🚩𝙎𝙂𝙄88🚩 encess sama koinya lagi ngasih mulu,busett cerahh sekali sgi88 encess dengan koinya lagi mengasih mulu,1,,,,,,judi_online
"Lem yg cuma kuat ke hal yg gamau direkatin, giliran ke benda yg mau direkatin malah ga kuat 😂",lem yg cuma kuat ke hal yg gamau direkatin giliran ke benda yg mau direkatin malah ga kuat,0,,,,,,dataset_kaggle
Wkwkkw petrik😂❤,wkwkkw petrik,0,,,,,,dataset_kaggle
Eh tahu tahu dh hbis 😭😭😭 mamanya kamariah nnti buat lagi vloge masak masak kemas kemas aq suka banget jalan jalan hehe thank you mamanya kamari make my day... Istirahat yang cukup kelihatan sembap matanya Love you mamari kamari and jusa ❤❤,eh tahu tahu dh hbis mamanya kamariah nnti buat lagi vloge masak masak kemas kemas aq suka banget jalan jalan hehe thank you mamanya kamari make my day istirahat yang cukup kelihatan sembap matanya love you mamari kamari and jusa,0,,,,,,dataset_kaggle
jajan ? banget main pu lau tujuh tujuh tujuh .,jajan banget main pu lau tujuh tujuh tujuh,1,zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,surendrasinghrana9545,data_clean_final
Pelatih lawak duh parah mlh pic lunok,pelatih lawak duh parah mlh pic lunok,0,,,,,,dataset_kaggle
"Hard
Medium
Easy
RRQ",hardmediumeasyrrq,0,,,,,,dataset_kaggle
"04:20 ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴 emang luar biasa! Visualnya memanjakan mata, ceritanya bikin mikir, dan gameplay-nya super smooth! 🌟",mona 4d emang luar biasa visual manja mata cerita bikin mikir gameplay nya super smooth,1,,,,1757854187.56353,@DucNgo-q9y,dataset_komentarJudol
𝘼𝙇𝙀𝙓𝙄𝙎17 tuh emang bener-bener ngasih peluang orang sultan mendadak,alexis17 tuh emang bener bener ngasih peluang orang sultan mendadak,1,VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,DimasOktarina-c6r,data_clean_final
"Netizen pada nanya, “𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 ini cult apa gimana sih?” — eh maksud gue 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 yaa! 😅",netizen nanya pulauwin cult apa gimana sih eh maksud gue pulauwin yaa,1,,,,1755194996.37689,@irvinghawes,dataset_komentarJudol
Lanjut vlog nya mamariii,lanjut vlog nya mamarii,0,,,,,,dataset_kaggle
"Tadi malam makswin, modal cuma receh",tadi malam makswin modal cuma receh,1,XI8K0-_kbHc,GAK NYANGKA BISA BEGINI! PENGENDARA DIJALAN SAMPAI BINGUNG LIHAT HUMMER EV | GLAMOUR AUTO BOUTIQUE,Jejelogy,1.739.601.492.418.770,Cdurhamarmand-k3l,data_clean_final
Siapa sih anak laki2 yang sama Ajja,siapa sih anak laki2 yang sama ajja,0,,,,,,dataset_kaggle
terima kasi rezekinya 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,terima kasi rezekinya weton88,1,8AzDe6gMOck,BRZ Farrel Siap untuk Indonesian Drift Series‼️,Garasi Drift,2025-05-02 09:00:09+00:00,GeneRashawn-l4f,data_clean_final
 @SamsulKhoir-w5t  negarawan sejati yang ngelantur brow ✌🏾,samsulkhoir w5t negarawan sejati yang ngelantur brow,0,gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.277.325.260,fishybrad,data_clean_final
nek neng kono mung ndelok ndas tok wong ra ketok wkwk,nek neng kono mung ndelok ndas tok wong ra ketok wkwk,0,,,,2024-10-07 12:13:32,Muhammad Andik Kurniawan 22,youtube_chat_jogja
"Bro, kita bisa kaya raya di Pulau 7/7/7, yuk!",saudara kita bisa kayak raya di pulau yuk,1,,,,,,judi_online
ngko aku tak melu ngebakki dalan:beaming_face_with_smiling_eyes:,ngko aku tak melu ngebakki dalan,0,,,,2024-10-07 10:13:27,Ririn Vlog,youtube_chat_jogja
Tim CLBK aja 😢,tim clbk aja,0,VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.365.840.923.380,nikosantosa_gan,data_clean_final
Sering sering bikin vlog yaaa qell,sering sering bikin vlog yaa qell,0,,,,,,dataset_kaggle
𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕adalah platform yang didedikasikan untuk memberikan pengalaman pengguna yang positif.,dora77adalah platform dedikasi beri alam guna positif,1,,,,1758415143.1248,@vlogs.prem.sain.-ho,dataset_komentarJudol
Bang siksa hp rellmie C85,bang siksa hp rellmie c85,0,,,,,,dataset_kaggle
Bang Piting leher ketua nya bang,bang piting leher ketua nya bang,0,,,,,,dataset_kaggle
Konsisten bergerak hasil datang Seacrh Google ❄️𝗝 𝗨 𝗡 𝗜 𝗢 𝗥 𝟴 𝟴❄️,konsisten bergerak hasil datang seacrh google junior88,1,,,,,,dataset_kaggle
Mimpi apa rakyat kumolonimbus..,mimpi apa rakyat kumolonimbus,0,ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,174.541.238.496.793,kobandaharizki4643,data_clean_final
"pikir , kelewat mikir sampe lupa pu lau tujuh tujuh tujuh !",pikir kelewat mikir sampe lupa pu lau tujuh tujuh tujuh,1,zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,aarifahmad2316,data_clean_final
Sus ngajak main aza ...no Aza ngajak main sus ...yes Sus nya yg bahagia ini mah 😂,sus ngajak main aza no aza ngajak main sus yes sus nya yg bahagia ini mah,0,,,,,,dataset_kaggle
hidupku hanya begantung padamu✦𝗠𝗮𝗻𝘂𝘁𝟴𝟴✦ wede 10juta mendarat mulus,hidupku hanya begantung padamu manut88 wede 10juta mendarat mulus,1,kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,1.739.947.021.164.810,iklilEmine-h2o,data_clean_final
"terimakasih selalu upload bg, walaupun masih sibuk🎉𝐒𝐆𝐈𝟖𝟖",terimakasih selalu upload bg walaupun masih sibuk sgi88,1,f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.412.233.195.550,ProvostBreeden-l9w,data_clean_final
First bangkent,first bangkent,0,,,,,,dataset_kaggle
😸,,0,,,,,,dataset_kaggle
Desain kaos distro lokal mulai banyak cetak ＰＵＬＡＵＷＩＮ.,desain kaos distro lokal mulai banyak cetak pulauwin,1,,,,1755194992.19353,@alvamai-u3i,dataset_komentarJudol
